r1,r2,t,sub,rs,condition
0.00868983957219259,0.76403743315508,20,36,0.755347593582888,transition
0.974598930481283,0.0086898395721926,1,37,-0.965909090909091,control
0.0120320855614974,0.0153743315508022,2,37,0.00334224598930481,reward
0.00868983957219259,0.129010695187166,3,37,0.120320855614973,reward
0.0688502673796792,0.172459893048128,4,37,0.103609625668449,transition
0.189171122994652,0.249331550802139,5,37,0.0601604278074866,transition
0.921122994652406,0.824197860962567,6,37,-0.0969251336898396,reward
0.0287433155080215,0.774064171122995,7,37,0.745320855614973,transition
0.894385026737968,0.0655080213903744,8,37,-0.828877005347593,transition
0.8475935828877,0.1524064171123,9,37,-0.695187165775401,transition
0.256016042780749,0.199197860962567,10,37,-0.0568181818181818,reward
0.0153743315508023,0.0354278074866311,11,37,0.0200534759358288,transition
0.476604278074866,0.68048128342246,12,37,0.203877005347594,control
0.185828877005348,0.5,13,37,0.314171122994652,control
0.129010695187166,0.0521390374331552,14,37,-0.0768716577540106,reward
0.0487967914438503,0.205882352941177,15,37,0.157085561497326,reward
0.0755347593582888,0.807486631016043,16,37,0.731951871657754,reward
0.142379679144385,0.693850267379679,17,37,0.551470588235294,reward
0.443181818181818,0.433155080213904,18,37,-0.0100267379679145,control
0.677139037433155,0.593582887700535,19,37,-0.0835561497326204,transition
0.503342245989305,0.429812834224599,20,37,-0.0735294117647058,transition
0.00534759358288778,0.00534759358288778,1,38,0.0,transition
0.0086898395721926,0.00534759358288772,2,38,-0.00334224598930488,reward
0.00200534759358295,0.00200534759358296,3,38,1.21430643318376e-17,control
0.00200534759358295,0.00200534759358295,4,38,0.0,reward
0.00200534759358295,0.00534759358288778,5,38,0.00334224598930482,reward
0.00200534759358295,0.00534759358288772,6,38,0.00334224598930477,control
0.00534759358288772,0.00534759358288772,7,38,0.0,reward
0.00534759358288778,0.00200534759358295,8,38,-0.00334224598930482,transition
0.0120320855614974,0.00200534759358295,9,38,-0.0100267379679144,transition
0.00534759358288778,0.00534759358288772,10,38,-5.3776427755281e-17,transition
0.00534759358288778,0.00200534759358296,11,38,-0.00334224598930481,transition
0.00200534759358295,0.00200534759358295,12,38,0.0,reward
0.00534759358288778,0.00200534759358296,13,38,-0.00334224598930481,transition
0.00200534759358296,0.00200534759358296,14,38,0.0,reward
0.00534759358288772,0.00534759358288778,15,38,5.3776427755281e-17,control
0.00200534759358295,0.00200534759358295,16,38,0.0,control
0.00200534759358296,0.00200534759358296,17,38,0.0,transition
0.00200534759358296,0.00534759358288772,18,38,0.00334224598930476,reward
0.00200534759358296,0.00200534759358295,19,38,-1.21430643318376e-17,reward
0.0153743315508022,0.0120320855614974,20,38,-0.00334224598930484,transition
0.182486631016043,0.49331550802139,1,39,0.310828877005348,control
0.00200534759358295,0.00534759358288772,2,39,0.00334224598930477,transition
0.00534759358288772,0.00200534759358295,3,39,-0.00334224598930477,control
0.00534759358288772,0.00534759358288772,4,39,0.0,control
0.0153743315508022,0.810828877005348,5,39,0.795454545454545,reward
0.00200534759358296,0.175802139037433,6,39,0.17379679144385,transition
0.00200534759358295,0.760695187165775,7,39,0.758689839572192,reward
0.0086898395721926,0.840909090909091,8,39,0.832219251336898,transition
0.0822192513368984,0.891042780748663,9,39,0.808823529411765,reward
0.00868983957219259,0.787433155080214,10,39,0.778743315508021,reward
0.00534759358288778,0.00534759358288778,11,39,0.0,control
0.00534759358288778,0.974598930481283,12,39,0.969251336898396,transition
0.00534759358288778,0.814171122994652,13,39,0.808823529411765,transition
0.00868983957219259,0.927807486631016,14,39,0.919117647058823,reward
0.00534759358288772,0.997994652406417,15,39,0.992647058823529,transition
0.00534759358288778,0.867647058823529,16,39,0.862299465240642,reward
0.00868983957219259,0.997994652406417,17,39,0.989304812834224,transition
0.00534759358288772,0.86096256684492,18,39,0.855614973262032,reward
0.00534759358288778,0.997994652406417,19,39,0.992647058823529,reward
0.0120320855614974,0.700534759358289,20,39,0.688502673796791,transition
0.630347593582888,0.77072192513369,1,40,0.140374331550802,control
0.0320855614973263,0.159090909090909,2,40,0.127005347593583,transition
0.0354278074866311,0.202540106951872,3,40,0.167112299465241,transition
0.142379679144385,0.459893048128342,4,40,0.317513368983957,transition
0.149064171122995,0.252673796791444,5,40,0.103609625668449,reward
0.00200534759358296,0.469919786096257,6,40,0.467914438502674,reward
0.159090909090909,0.00200534759358296,7,40,-0.157085561497326,control
0.0421122994652407,0.252673796791444,8,40,0.210561497326203,transition
0.0320855614973263,0.00200534759358296,9,40,-0.0300802139037433,transition
0.0755347593582888,0.215909090909091,10,40,0.140374331550802,reward
0.0889037433155081,0.0554812834224599,11,40,-0.0334224598930482,transition
0.00200534759358296,0.102272727272727,12,40,0.100267379679144,control
0.0387700534759359,0.118983957219251,13,40,0.0802139037433155,reward
0.00200534759358296,0.00534759358288772,14,40,0.00334224598930476,transition
0.108957219251337,0.242647058823529,15,40,0.133689839572192,transition
0.115641711229947,0.169117647058824,16,40,0.053475935828877,control
0.0922459893048129,0.456550802139037,17,40,0.364304812834225,reward
0.14572192513369,0.00200534759358296,18,40,-0.143716577540107,reward
0.122326203208556,0.00200534759358295,19,40,-0.120320855614973,reward
0.239304812834225,0.0621657754010696,20,40,-0.177139037433155,reward
0.256016042780749,0.00200534759358296,1,41,-0.254010695187166,reward
0.0153743315508022,0.215909090909091,2,41,0.200534759358289,control
0.790775401069519,0.914438502673797,3,41,0.123663101604278,transition
0.997994652406417,0.974598930481283,4,41,-0.0233957219251337,reward
0.997994652406417,0.0120320855614974,5,41,-0.98596256684492,reward
0.994652406417112,0.914438502673797,6,41,-0.0802139037433156,transition
0.00200534759358296,0.018716577540107,7,41,0.0167112299465241,reward
0.00868983957219259,0.0320855614973262,8,41,0.0233957219251336,transition
0.108957219251337,0.790775401069519,9,41,0.681818181818182,transition
0.00534759358288778,0.292780748663102,10,41,0.287433155080214,reward
0.222593582887701,0.720588235294118,11,41,0.497994652406417,reward
0.0153743315508022,0.239304812834225,12,41,0.223930481283422,control
0.830882352941176,0.921122994652406,13,41,0.0902406417112299,reward
0.834224598930481,0.927807486631016,14,41,0.0935828877005347,transition
0.165775401069519,0.95120320855615,15,41,0.785427807486631,transition
0.0120320855614974,0.0387700534759359,16,41,0.0267379679144385,control
0.0220588235294118,0.276069518716578,17,41,0.254010695187166,reward
0.05548128342246,0.135695187165775,18,41,0.0802139037433155,transition
0.670454545454545,0.205882352941177,19,41,-0.464572192513369,transition
0.0254010695187167,0.192513368983957,20,41,0.167112299465241,control
0.757352941176471,0.496657754010695,1,42,-0.260695187165775,control
0.586898395721925,0.49331550802139,2,42,-0.0935828877005348,reward
